y,client_id,vol_type,total_cases_opened,UNRATE,HSN1F,FEDFUNDS,MORTGAGE30US,TotalOrders,month,lag_1,drv_lag_1,lag_2,drv_lag_2,lag_3,drv_lag_3,lag_4,drv_lag_4,lag_5,drv_lag_5,lag_6,drv_lag_6,lag_7,drv_lag_7,lag_8,drv_lag_8,lag_9,drv_lag_9,lag_10,drv_lag_10,lag_11,drv_lag_11,lag_12,drv_lag_12,trend
1985,Credit - Tech Support,tickets,1985,4.1,717.0,5.13,6.18,481904,9,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,32.0
2229,Credit - Tech Support,tickets,2229,4.1,621.0,4.83,6.428,433823,10,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,33.0
1628,Credit - Tech Support,tickets,1628,4.2,675.0,4.64,6.805,354321,11,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,34.0
1734,Credit - Tech Support,tickets,1734,4.1,718.0,4.48,6.715,356846,12,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,35.0
2072,Credit - Tech Support,tickets,2072,4.0,662.0,4.33,6.958,340959,1,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,36.0
2138,Credit - Tech Support,tickets,2138,4.1,642.0,4.33,6.842499999999999,296083,2,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,37.0
2076,Credit - Tech Support,tickets,2076,4.2,660.0,4.33,6.65,361906,3,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,38.0
1682,Credit - Tech Support,tickets,1682,4.2,706.0,4.33,6.725,323873,4,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,39.0
1501,Credit - Tech Support,tickets,1501,4.2,627.0,4.33,6.816,489173,5,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,40.0
1688,Credit - Tech Support,tickets,1688,4.1,676.0,4.33,6.8175,339467,6,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,41.0
2328,Credit - Tech Support,tickets,2328,4.2,664.0,4.33,6.720000000000001,340721,7,1688,339467,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,42.0
2177,Credit - Tech Support,tickets,2177,4.3,800.0,4.33,6.5875,354019,8,2328,340721,1688,339467,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,43.0
1893,Credit - Tech Support,tickets,1893,4.3,800.0,4.33,6.3525,357882,9,2177,354019,2328,340721,1688,339467,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,44.0
